"Element","Local node","Displacement in X","Displacement in Y","Tensile Force"
1,1,n/a,n/a,-6484.00396453521
1,2,n/a,n/a,-6484.00396453521
2,1,n/a,n/a,-765.752288882498
2,2,n/a,n/a,-765.752288882498
3,1,n/a,n/a,1899.38594150291
3,2,n/a,n/a,1899.38594150291
4,1,n/a,n/a,-4555.4691514082
4,2,n/a,n/a,-4555.4691514082
5,1,n/a,n/a,765.566359932338
5,2,n/a,n/a,765.566359932338
6,1,n/a,n/a,-3828.69567550005
6,2,n/a,n/a,-3828.69567550005
7,1,n/a,n/a,-1937.53476119943
7,2,n/a,n/a,-1937.53476119943
8,1,n/a,n/a,-3577.16040327
8,2,n/a,n/a,-3577.16040327
9,1,n/a,n/a,1937.28064676032
9,2,n/a,n/a,1937.28064676032
10,1,n/a,n/a,1050.10970818391
10,2,n/a,n/a,1050.10970818391
11,1,n/a,n/a,3199.42472117078
11,2,n/a,n/a,3199.42472117078